dataset_id,image_id,file_name,labels
1,1,2023_01_10_16_36_21_decrypted.png,batch1
1,2,2023_01_10_16_36_27_decrypted.png,"batch1, batch3, cate2, cate1"
1,3,2023_01_10_16_36_32_decrypted.png,"batch1, cate1, cate2"
1,4,2023_01_10_16_36_37_decrypted.png,"batch1, cate1, cate2"
1,5,2023_01_10_16_36_42_decrypted.png,"batch1, cate1"
1,6,2023_01_10_16_36_48_decrypted.png,cate1
1,7,2023_01_10_16_36_53_decrypted.png,cate1
1,8,2023_01_10_16_36_59_decrypted.png,cate3
1,9,2023_01_10_16_37_04_decrypted.png,cate3
1,10,2023_01_10_16_37_09_decrypted.png,"cate2, cate3"
1,11,2023_01_10_16_37_11_decrypted.png,"cate2, cate3"
1,12,2023_01_10_16_37_14_decrypted.png,cate3
1,13,2023_01_10_16_37_19_decrypted.png,"batch2, cate2"
1,14,2023_01_10_16_37_20_decrypted.png,"batch2, cate2"
1,15,2023_01_10_16_37_25_decrypted.png,"batch2, cate2"
1,16,2023_01_10_16_37_30_decrypted.png,"batch2, cate2"
1,17,2023_01_10_16_37_31_decrypted.png,cate2
1,18,2023_01_10_16_37_35_decrypted.png,cate2
